links,Stories,beds,baths,price,Zip Code,Days on Market,Year Built,Lot Area,Property Type
https://www.trulia.com/p/ny/flushing/6418-utopia-pkwy-flushing-ny-11365--2410562825,1.0,3.0,2.0,1088000.0,11365,1,1945.0,3880, Single Family Home
https://www.trulia.com/p/ny/new-york/101-warren-st-1170n-new-york-ny-10007--2008561827,35.0,2.0,3.0,4395000.0,10007,1,2008.0,nan, Condo
https://www.trulia.com/p/ny/staten-island/131-palmer-ave-staten-island-ny-10302--2008732415,2.0,3.0,3.0,574000.0,10302,1,1946.0,2500, Residential
https://www.trulia.com/p/ny/forest-hills/70-25-yellowstone-blvd-8-o-forest-hills-ny-11375--2454337779,,1.0,1.0,299000.0,11375,1,1965.0,nan, Coop
https://www.trulia.com/p/ny/brooklyn/1279-new-york-ave-brooklyn-ny-11203--2009561714,2.0,5.0,5.0,1299000.0,11203,1,1920.0,2000, Multi Family
https://www.trulia.com/p/ny/brooklyn/19-hyman-ct-brooklyn-ny-11229--2487938565,,4.0,2.0,799000.0,11229,1,1925.0,3600, Residential
https://www.trulia.com/p/ny/new-york/179-e-94th-st-new-york-ny-10128--2088914440,4.0,18.0,7.0,4495000.0,10128,1,1910.0,nan, Townhouse
https://www.trulia.com/p/ny/new-york/390-w-end-ave-8h-new-york-ny-10024--2088873746,,4.0,3.0,5250000.0,10024,1,2008.0,nan, Condo
https://www.trulia.com/p/ny/brooklyn/86-green-st-4-brooklyn-ny-11222--2174417640,,2.0,2.0,1350000.0,11222,1,2001.0,nan, Condo
https://www.trulia.com/p/ny/new-york/53-n-moore-st-3b-new-york-ny-10013--2088829007,9.0,2.0,2.0,2750000.0,10013,1,1910.0,nan, Condo
https://www.trulia.com/p/ny/brooklyn/601-e-19th-st-2m-brooklyn-ny-11226--2478440488,,1.0,1.0,399000.0,11226,1,1942.0,nan, Coop
https://www.trulia.com/p/ny/bronx/724-e-217th-st-4b-bronx-ny-10467--2088937674,1.0,2.0,1.0,249999.0,10467,1,2006.0,nan, Residential
https://www.trulia.com/p/ny/new-york/1991-broadway-4-new-york-ny-10023--2411320680,,4.0,3.0,2485000.0,10023,1,1985.0,nan, Residential
https://www.trulia.com/p/ny/flushing/138-35-elder-ave-6g-flushing-ny-11355--2617901822,1.0,2.0,2.0,698000.0,11355,1,1986.0,1.189, Residential
